price,salary,expenses,usage,need_score,safety,regret
77320,141958,136932,7,0.19999999999999998,-0.019238507164090785,0.9749769898795111
65320,61090,6685,2,0.76,0.28345588476018996,0.6959346912162024
83604,123355,109724,12,0.72,0.17687552186778,0.7011691873794188
3247,169503,135523,16,0.57,0.4054405703733857,0.6247314908785209
67303,87435,61886,25,0.3,0.22595756847944187,0.7440104970246179
23983,144243,125174,7,0.52,0.22899979895038236,0.7564155135599538
67621,55920,31531,8,0.94,0.1736827610872676,0.8032439530040233
99799,57065,31557,14,0.57,-0.034859984228511276,1.0
90289,111387,6016,8,0.58,0.38921954985770335,0.6338212651497286
38544,190171,144643,15,0.06,0.20295801147388404,0.8013381621076567
48690,153767,129375,11,0.43999999999999995,0.2104574713690193,0.8244645415915288
23162,84505,57251,9,0.71,0.3497782971421809,0.6589018060410593
80075,55222,16837,5,0.57,0.064024519213357,0.8840839869608689
7410,178338,103806,14,0.24,0.3667051105204724,0.6295047022281184
51136,142409,28419,19,0.58,0.5764528646363642,0.46872375989492787
56544,125878,76910,15,0.42999999999999994,0.29984558064157363,0.7011044359115338
44085,95450,27299,10,0.33999999999999997,0.3490392875851231,0.624472702226525
22334,199997,179013,26,0.58,0.44246712700690505,0.5831962446487627
67342,181152,133376,25,0.38,0.3579708090443385,0.509270388577488
66699,23748,18545,15,0.8599999999999999,-0.34694778507663815,1.0
51505,138451,59384,17,0.7999999999999999,0.5268305032105222,0.43525314076356575
94709,113264,31736,2,0.72,0.27306826529170786,0.7498025171442493
87592,75680,51717,12,0.6199999999999999,0.08543446088794926,0.9038493149492411
37657,163760,30342,24,0.71,0.7099009526135808,0.25563933686320695
23171,130078,85623,1,0.72,0.30926311905164594,0.6699140627707854
35254,132547,77082,19,0.72,0.4935900623929625,0.549285100186443
38004,91295,16111,11,0.42999999999999994,0.44352817788487875,0.5386345708267115
97101,66843,60439,16,0.72,-0.02147916760169355,1.0
21432,123727,117893,5,0.29,0.10389485722598947,0.9369127789180791
59540,24499,11295,24,0.6599999999999999,-0.07550667374178532,1.0
3057,199426,131063,25,0.52,0.5385208347958642,0.5547678907613736
94679,70108,51760,1,0.48,-0.1464578650082729,1.0
46714,78871,27399,3,0.57,0.28435890251169627,0.6471475446524889
80409,157965,121381,6,0.42999999999999994,0.12892909821795964,0.8324818643073775
54545,69377,53404,1,0.33999999999999997,-0.03176954898597517,0.9836187676826688
74244,122946,114616,12,0.6599999999999999,0.16393886747027153,0.8849201325703822
63708,198274,168707,5,0.42999999999999994,0.14225488969809452,0.8154054243984852
85814,26102,6184,18,0.57,-0.3300589226879167,1.0
73491,56631,50681,15,0.52,-0.04128858752273484,1.0
55248,125864,83069,10,0.33999999999999997,0.206318947435327,0.8217202788830847
70816,159788,115627,20,0.7999999999999999,0.41759281047387786,0.5666437272941048
79157,164475,37097,23,0.42999999999999994,0.5243996048031616,0.5135488562215018
56109,146141,27677,26,0.71,0.6820645335668978,0.27327945275164106
20008,133632,85135,28,0.6599999999999999,0.57824844348659,0.4050106941436733
73115,183165,175806,20,0.7999999999999999,0.336318073867824,0.6583222023741198
26445,48251,42945,5,0.58,0.103565190358749,0.8721239453535948
67117,120235,79740,26,0.6599999999999999,0.4252549590385496,0.6220141254658288
3843,134548,116488,29,0.58,0.5091221868775455,0.5541981558910982
13784,87215,74042,22,0.42999999999999994,0.3620023505130998,0.6261280514265667
95258,186319,126172,4,0.52,0.17174804501956326,0.921852239004052
98616,43049,19069,4,0.71,-0.21141961485748795,1.0
5111,29540,21364,16,0.48,0.3628050101557211,0.6377066428952582
61390,111007,93223,20,0.8599999999999999,0.3561739890277189,0.7504776797050945
98356,123691,111306,1,0.72,0.027498896443556964,0.874896713580318
12661,58494,8373,29,0.38,0.6818079803056724,0.36244154305366094
66453,95353,81797,19,0.52,0.19379188908581796,0.7829816234819337
912,177164,16338,24,0.19999999999999998,0.6615678128739473,0.36601903764930643
83542,67295,56938,16,0.48,-0.006867077791812171,0.9713606798954381
45311,158429,66476,17,0.3,0.4063614616010957,0.6252811602680398
1228,192627,183031,22,0.19999999999999998,0.2980140894059503,0.5892779766181689
83137,175538,64163,20,0.58,0.48570743656644155,0.46399169435857335
61066,162202,92508,16,0.38,0.3329252906869213,0.606365278673692
9848,31174,9729,3,0.29,0.2973939180085969,0.7232526547051843
22177,195333,6542,13,0.6599999999999999,0.6805430930769506,0.29127067928285066
27462,108092,59693,8,0.72,0.39888457980239056,0.5679040480323883
72624,39870,6810,12,0.57,0.07622197140707287,0.9917835969053357
86688,35485,16714,13,0.76,-0.16329068620543896,1.0
39798,62918,57224,13,0.72,0.19243822117676976,0.8343631055684732
83348,43960,38591,6,0.48,-0.3159454049135578,1.0
93896,40559,32509,11,0.33999999999999997,-0.4031236470327178,1.0
18140,134065,76726,17,0.38,0.41448595830380786,0.629130073532226
79359,175576,143186,10,0.76,0.2661937166810953,0.7429733836058223
9837,86203,34703,28,0.94,0.7667364940895327,0.19335174500889063
48105,24835,8775,17,0.19999999999999998,-0.09242802496476743,1.0
28032,117007,87844,14,0.33999999999999997,0.2698239763432957,0.7691897818777044
57070,78141,28793,13,0.58,0.3375060979511396,0.6700479001564968
62792,120497,13415,26,0.43999999999999995,0.5911352481804526,0.4031377595569165
884,125570,13702,21,0.72,0.7802406625786413,0.28165015302003177
81142,118142,14860,21,0.38,0.4676423964381846,0.46482150591474003
35316,141288,43765,19,0.58,0.5651097899326197,0.4030284334635864
92693,196615,113319,28,0.6599999999999999,0.5060268545126261,0.557746307920055
43444,183121,42131,22,0.72,0.6727986194920298,0.32262307747547836
15754,39198,24758,15,0.42999999999999994,0.30578197867238116,0.705891311151631
55893,26949,14521,18,0.38,-0.14374166017291917,1.0
57300,114456,58413,24,0.57,0.45666995177185987,0.5917614724595074
87869,75479,24856,17,0.7999999999999999,0.32903045880311077,0.7032561806330516
70336,34388,10569,11,0.43999999999999995,-0.09454763289519597,1.0
22915,157162,147709,8,0.71,0.2733177612908973,0.6715894987100147
70224,121570,38434,18,0.43999999999999995,0.4122484165501358,0.5237370270381014
40249,43061,18716,1,0.6599999999999999,0.153735119946123,0.781184713766777
82318,128464,96865,9,0.42999999999999994,0.1251542533316727,0.8135430964584222
4932,138831,57796,26,0.58,0.6568205516059095,0.34526271175035966
9217,151374,136127,26,0.8599999999999999,0.5400229365677064,0.4799880119526455
56158,102838,89717,15,0.71,0.25021095314961395,0.7105634521597209
46771,54674,40854,25,0.58,0.2684726926875663,0.6535020115933002
6668,154668,114779,4,0.42999999999999994,0.25922680838958284,0.7511076647604711
80405,157443,31069,15,0.6599999999999999,0.5158582090026231,0.44036087832813897
76203,68447,39529,27,0.43999999999999995,0.23700080354142627,0.6938592099103569
2105,178357,121421,23,0.7999999999999999,0.5941493185016569,0.4457248917222589
84971,151189,130808,6,0.42999999999999994,0.07431639206556032,0.9329438109487126
88736,99239,51514,12,0.71,0.25711451143199754,0.7749145889154601
78977,147534,72584,6,0.58,0.27661322813724293,0.6826475654632422
59883,67362,25128,10,0.72,0.30009637481072415,0.6707745794075292
19716,152414,113872,9,0.42999999999999994,0.2813433542850394,0.7317019674065443
84024,62078,45752,28,0.71,0.19213979187473823,0.8121896974989067
87888,63925,10951,8,0.52,0.1550175987485335,0.8371985394818625
19782,106740,20524,27,0.8599999999999999,0.7954892261570171,0.28997539857946397
12454,180359,44711,29,0.43999999999999995,0.7021246403007336,0.3391203690057031
34516,170168,72728,15,0.48,0.462193784965446,0.4935654179386547
97146,74917,32202,19,0.71,0.2420512166797923,0.7722958463814226
59879,91324,10408,7,0.58,0.40170991196180633,0.64679397693388
68279,22336,10373,22,0.72,-0.26683398997134666,1.0
24210,66197,60180,15,0.71,0.28964018006858316,0.6881451569276112
4256,34382,23755,2,0.19999999999999998,0.16649874934558784,0.8523662753066548
71815,144714,135330,11,0.76,0.21506165263899826,0.7009653832609122
76493,110474,7443,13,0.57,0.4663284935822003,0.5034183526182046
27806,111751,104131,12,0.6199999999999999,0.2586286118245027,0.7112389979102315
